ENCUESTADOR;DEPTO;MUPIO;SECTOR;ESTRUCTURA;VIVIENDA;HOGAR;CP;CAPITULO;SECCION;PREGUNTA;DEFINICION DE INCONSISTENCIA;CODIGO ERROR;COMENTARIOS;;
3108.0;18.0;3.0;22567.0;44.0;31.0;4.0;0.0;1;A;1;El tipo de vivienda es Casa Formal Con Techo de paja, palma o similar;01A00109;;;
3114.0;6.0;9.0;9071.0;141.0;106.0;5.0;0.0;1;A;1;El tipo de vivienda es Casa Formal Con Techo de paja, palma o similar;01A00109;;;
3108.0;18.0;3.0;22567.0;14.0;5.0;1.0;0.0;1;A;1;El tipo de vivienda es Casa Formal Con Techo de paja, palma o similar;01A00109;;01A00109;3
3089.0;9.0;9.0;11395.0;116.0;47.0;1.0;0.0;1;A;5;No Tiene Distribución de Energía Eléctrica y Tiene Contador de Electricidad;01A00502;;01A00502;9
3016.0;6.0;5.0;8859.0;13.0;5.0;1.0;0.0;1;A;5;No Tiene Distribución de Energía Eléctrica y Tiene Contador de Electricidad;01A00502;;01C00101;6
3055.0;10.0;13.0;12771.0;242.0;188.0;7.0;0.0;1;A;5;No Tiene Distribución de Energía Eléctrica y Tiene Contador de Electricidad;01A00502;;01D00602;2
3003.0;5.0;5.0;7860.0;118.0;80.0;7.0;0.0;1;A;5;No Tiene Distribución de Energía Eléctrica y Tiene Contador de Electricidad;01A00502;;01D00901;6
3000.0;12.0;2.0;13783.0;132.0;67.0;4.0;0.0;1;A;5;No Tiene Distribución de Energía Eléctrica y Tiene Contador de Electricidad;01A00502;;01D01201;1
3049.0;15.0;2.0;18951.0;15.0;7.0;1.0;0.0;1;A;5;No Tiene Distribución de Energía Eléctrica y Tiene Contador de Electricidad;01A00502;;01D01701;5
3136.0;5.0;13.0;8461.0;132.0;78.0;5.0;0.0;1;A;5;No Tiene Distribución de Energía Eléctrica y Tiene Contador de Electricidad;01A00502;;01D02001;1
3126.0;5.0;13.0;8461.0;112.0;61.0;4.0;0.0;1;A;5;No Tiene Distribución de Energía Eléctrica y Tiene Contador de Electricidad;01A00502;;01D02002;1
3042.0;20.0;1.0;23523.0;90.0;74.0;5.0;0.0;1;A;5;No Tiene Distribución de Energía Eléctrica y Tiene Contador de Electricidad;01A00502;;01D02201;1
3024.0;2.0;1.0;5485.0;80.0;66.0;4.0;0.0;1;C;1;Selecciono que realizó alguna mejoras a su vivienda, pero no contesto si en los últimos doce meses lo realizaron;01C00101;;01D02603;1
3108.0;18.0;3.0;22567.0;44.0;31.0;4.0;0.0;1;C;1;Selecciono que realizó alguna mejoras a su vivienda, pero no contesto si en los últimos doce meses lo realizaron;01C00101;;01D02702;1
3000.0;12.0;2.0;13783.0;132.0;67.0;4.0;0.0;1;C;1;Selecciono que realizó alguna mejoras a su vivienda, pero no contesto si en los últimos doce meses lo realizaron;01C00101;;01D03103;4
