ENCUESTADOR,DEPTO,MUPIO,SECTOR,ESTRUCTURA,VIVIENDA,HOGAR,CP,CAPITULO,SECCION,PREGUNTA,DEFINICION DE INCONSISTENCIA,CODIGO ERROR,COMENTARIOS
3015.0,13.0,2.0,15701.0,176.0,140.0,8.0,1.0,L,L,L,L,L,
3015.0,13.0,2.0,15701.0,176.0,140.0,8.0,1.0,L,L,L,L,L,
3015.0,13.0,2.0,15701.0,176.0,140.0,8.0,1.0,L,L,L,L,L,
3015.0,13.0,2.0,15701.0,176.0,140.0,8.0,1.0,L,L,L,L,L,
3015.0,13.0,2.0,15701.0,176.0,140.0,8.0,1.0,L,L,L,L,L,
3015.0,13.0,2.0,15701.0,176.0,140.0,8.0,1.0,L,L,L,L,L,
3015.0,13.0,2.0,15701.0,176.0,140.0,8.0,1.0,L,L,L,L,L,
3015.0,13.0,2.0,15701.0,176.0,140.0,8.0,1.0,L,L,L,L,L,
3015.0,13.0,2.0,15701.0,176.0,140.0,8.0,1.0,L,L,L,L,L,
3015.0,13.0,2.0,15701.0,176.0,140.0,8.0,1.0,L,L,L,L,L,
3015.0,13.0,2.0,15701.0,176.0,140.0,8.0,1.0,L,L,L,L,L,
3015.0,13.0,2.0,15701.0,176.0,140.0,8.0,1.0,L,L,L,L,L,
3015.0,13.0,2.0,15701.0,176.0,140.0,8.0,1.0,L,L,L,L,L,
3015.0,13.0,2.0,15701.0,176.0,140.0,8.0,1.0,L,L,L,L,L,
3015.0,13.0,2.0,15701.0,176.0,140.0,8.0,1.0,L,L,L,L,L,
3015.0,13.0,2.0,15701.0,176.0,140.0,8.0,1.0,L,L,L,L,L,
3015.0,13.0,2.0,15701.0,176.0,140.0,8.0,1.0,L,L,L,L,L,
3015.0,13.0,2.0,15701.0,176.0,140.0,8.0,1.0,L,L,L,L,L,
3015.0,13.0,2.0,15701.0,176.0,140.0,8.0,1.0,L,L,L,L,L,
3015.0,13.0,2.0,15701.0,176.0,140.0,8.0,1.0,L,L,L,L,L,
3015.0,13.0,2.0,15701.0,176.0,140.0,8.0,1.0,L,L,L,L,L,
3015.0,13.0,2.0,15701.0,176.0,140.0,8.0,1.0,L,L,L,L,L,
3015.0,13.0,2.0,15701.0,176.0,140.0,8.0,1.0,L,L,L,L,L,
3015.0,13.0,2.0,15701.0,176.0,140.0,8.0,1.0,L,L,L,L,L,
3015.0,13.0,2.0,15701.0,176.0,140.0,8.0,2.0,L,L,L,L,L,
3015.0,13.0,2.0,15701.0,176.0,140.0,8.0,2.0,L,L,L,L,L,
3015.0,13.0,2.0,15701.0,176.0,140.0,8.0,2.0,L,L,L,L,L,
3015.0,13.0,2.0,15701.0,176.0,140.0,8.0,2.0,L,L,L,L,L,
3015.0,13.0,2.0,15701.0,176.0,140.0,8.0,2.0,L,L,L,L,L,
3015.0,13.0,2.0,15701.0,176.0,140.0,8.0,2.0,L,L,L,L,L,
3015.0,13.0,2.0,15701.0,176.0,140.0,8.0,2.0,L,L,L,L,L,
3015.0,13.0,2.0,15701.0,176.0,140.0,8.0,2.0,L,L,L,L,L,
3015.0,13.0,2.0,15701.0,176.0,140.0,8.0,2.0,L,L,L,L,L,
3015.0,13.0,2.0,15701.0,176.0,140.0,8.0,2.0,L,L,L,L,L,
3015.0,13.0,2.0,15701.0,176.0,140.0,8.0,2.0,L,L,L,L,L,
