ENCUESTADOR,DEPTO,MUPIO,SECTOR,ESTRUCTURA,VIVIENDA,HOGAR,CP,CAPÍTULO,SECCIÓN,PREGUNTA,DEFINICIÓN DE INCONSISTENCIA,CÓDIGO ERROR,COMENTARIOS
3037.0,3.0,1.0,5885.0,279.0,55.0,1.0,0.0,1,A,1,"Si vive en un cuarto en casa de vecindad, no debería preguntar cuantos cuartos tiene ese hogar, ya que no hay mas cuartos disponibles",01A00104,
3014.0,1.0,29.0,3227.0,137.0,121.0,7.0,0.0,1,A,1,"Si vive en un cuarto en casa de vecindad, no debería preguntar cuantos cuartos tiene ese hogar, ya que no hay mas cuartos disponibles",01A00104,
3108.0,17.0,9.0,21817.0,10.0,7.0,1.0,0.0,1,A,1,"Si vive en un cuarto en casa de vecindad, no debería preguntar cuantos cuartos tiene ese hogar, ya que no hay mas cuartos disponibles",01A00104,
3053.0,16.0,17.0,20927.0,13.0,11.0,1.0,0.0,1,A,1,"El tipo de vivienda es Casa Formal Con Techo de paja, palma o similar",01A00109,
3067.0,17.0,8.0,21745.0,82.0,48.0,3.0,0.0,1,A,1,"El tipo de vivienda es Casa Formal Con Techo de paja, palma o similar",01A00109,
3053.0,16.0,13.0,20808.0,78.0,58.0,1.0,0.0,1,A,1,"El tipo de vivienda es Casa Formal Con Techo de paja, palma o similar",01A00109,
3003.0,5.0,1.0,7542.0,36.0,25.0,2.0,0.0,1,A,5,No Tiene Distribución de Agua y Si Tiene Contador de Agua,01A00501,
3090.0,19.0,9.0,23419.0,24.0,20.0,20.0,0.0,1,A,5,No Tiene Distribución de Energía Eléctrica y Tiene Contador de Electricidad,01A00502,
3151.0,22.0,1.0,24835.0,13.0,11.0,1.0,0.0,1,A,5,No Tiene Distribución de Energía Eléctrica y Tiene Contador de Electricidad,01A00502,
3028.0,14.0,10.0,17946.0,63.0,39.0,3.0,0.0,1,A,5,No Tiene Distribución de Energía Eléctrica y Tiene Contador de Electricidad,01A00502,
3126.0,5.0,13.0,8475.0,136.0,111.0,9.0,0.0,1,A,5,No Tiene Distribución de Energía Eléctrica y Tiene Contador de Electricidad,01A00502,
3003.0,5.0,7.0,8104.0,133.0,105.0,5.0,0.0,1,A,5,No Tiene Distribución de Energía Eléctrica y Tiene Contador de Electricidad,01A00502,
3023.0,4.0,7.0,6951.0,102.0,82.0,5.0,0.0,1,A,5,No Tiene Distribución de Energía Eléctrica y Tiene Contador de Electricidad,01A00502,
3002.0,4.0,3.0,6593.0,116.0,88.0,8.0,0.0,1,A,5,No Tiene Distribución de Energía Eléctrica y Tiene Contador de Electricidad,01A00502,
3136.0,7.0,5.0,9593.0,89.0,48.0,5.0,0.0,1,A,5,No Tiene Distribución de Energía Eléctrica y Tiene Contador de Electricidad,01A00502,
3095.0,12.0,7.0,14180.0,33.0,25.0,1.0,0.0,1,A,5,No Tiene Distribución de Energía Eléctrica y Tiene Contador de Electricidad,01A00502,
3024.0,15.0,7.0,19256.0,104.0,85.0,2.0,0.0,1,A,5,No Tiene Distribución de Energía Eléctrica y Tiene Contador de Electricidad,01A00502,
3140.0,21.0,1.0,24450.0,151.0,121.0,6.0,0.0,1,A,5,No Tiene Distribución de Energía Eléctrica y Tiene Contador de Electricidad,01A00502,
3043.0,7.0,3.0,9442.0,7.0,3.0,1.0,0.0,1,C,1,"Selecciono que realizó alguna mejoras a su vivienda, pero no contesto si en los últimos doce meses lo realizaron",01C00101,
3140.0,21.0,1.0,24364.0,91.0,66.0,1.0,0.0,1,C,1,"Selecciono que realizó alguna mejoras a su vivienda, pero no contesto si en los últimos doce meses lo realizaron",01C00101,
3126.0,7.0,5.0,9525.0,249.0,192.0,10.0,0.0,1,C,1,"Selecciono que realizó alguna mejoras a su vivienda, pero no contesto si en los últimos doce meses lo realizaron",01C00101,
3048.0,5.0,1.0,7349.0,178.0,164.0,8.0,0.0,1,C,1,"Selecciono que realizó alguna mejoras a su vivienda, pero no contesto si en los últimos doce meses lo realizaron",01C00101,
3019.0,9.0,20.0,11835.0,42.0,32.0,2.0,0.0,1,C,1,"Selecciono que realizó alguna mejoras a su vivienda, pero no contesto si en los últimos doce meses lo realizaron",01C00101,
3132.0,2.0,3.0,5574.0,16.0,6.0,1.0,0.0,1,C,1,"Selecciono que realizó alguna mejoras a su vivienda, pero no contesto si en los últimos doce meses lo realizaron",01C00101,
3013.0,8.0,3.0,10361.0,41.0,30.0,3.0,0.0,1,C,1,"Selecciono que realizó alguna mejoras a su vivienda, pero no contesto si en los últimos doce meses lo realizaron",01C00101,
3045.0,1.0,36.0,4567.0,119.0,126.0,7.0,0.0,1,C,1,"Selecciono que realizó alguna mejoras a su vivienda, pero no contesto si en los últimos doce meses lo realizaron",01C00101,
3034.0,19.0,4.0,23172.0,50.0,27.0,3.0,0.0,1,C,1,"Selecciono que realizó alguna mejoras a su vivienda, pero no contesto si en los últimos doce meses lo realizaron",01C00101,
3082.0,15.0,3.0,19053.0,70.0,59.0,4.0,0.0,1,C,1,"Selecciono que realizó alguna mejoras a su vivienda, pero no contesto si en los últimos doce meses lo realizaron",01C00101,
3116.0,19.0,7.0,23344.0,60.0,39.0,3.0,0.0,1,C,1,"Selecciono que realizó alguna mejoras a su vivienda, pero no contesto si en los últimos doce meses lo realizaron",01C00101,
3035.0,1.0,36.0,4723.0,18.0,32.0,3.0,0.0,1,C,1,"Selecciono que realizó alguna mejoras a su vivienda, pero no contesto si en los últimos doce meses lo realizaron",01C00101,
3024.0,2.0,3.0,5577.0,125.0,90.0,1.0,0.0,1,C,1,"Selecciono que realizó alguna mejoras a su vivienda, pero no contesto si en los últimos doce meses lo realizaron",01C00101,
3132.0,2.0,3.0,5574.0,54.0,24.0,1.0,0.0,1,C,1,"Selecciono que realizó alguna mejoras a su vivienda, pero no contesto si en los últimos doce meses lo realizaron",01C00101,
3122.0,6.0,2.0,8688.0,11.0,4.0,1.0,0.0,1,D,6,"Si selecciona una opcion de rango (3:7,98) en pregunta sobre ""De dónde obtienen principalmente el agua para consumo"", se verifica que el resto de preguntas sean distinto a vacio hasta la pregunta 12",01D00602,
3026.0,18.0,1.0,22158.0,193.0,87.0,1.0,0.0,1,D,6,"Si selecciona una opcion de rango (3:7,98) en pregunta sobre ""De dónde obtienen principalmente el agua para consumo"", se verifica que el resto de preguntas sean distinto a vacio hasta la pregunta 12",01D00602,
3021.0,4.0,5.0,6795.0,168.0,131.0,4.0,0.0,1,D,6,"Si selecciona una opcion de rango (3:7,98) en pregunta sobre ""De dónde obtienen principalmente el agua para consumo"", se verifica que el resto de preguntas sean distinto a vacio hasta la pregunta 12",01D00602,
3014.0,3.0,6.0,6096.0,25.0,21.0,2.0,0.0,1,D,6,"Si selecciona una opcion de rango (3:7,98) en pregunta sobre ""De dónde obtienen principalmente el agua para consumo"", se verifica que el resto de preguntas sean distinto a vacio hasta la pregunta 12",01D00602,
3119.0,1.0,1.0,29.0,185.0,160.0,10.0,0.0,1,D,9,"El servicio de agua es privada o de comité, debe pagar una cuota determinada",01D00901,
3077.0,8.0,5.0,10585.0,54.0,24.0,4.0,0.0,1,D,9,"El servicio de agua es privada o de comité, debe pagar una cuota determinada",01D00901,
3029.0,2.0,7.0,5781.0,261.0,191.0,10.0,0.0,1,D,9,"El servicio de agua es privada o de comité, debe pagar una cuota determinada",01D00901,
3103.0,17.0,1.0,21175.0,65.0,42.0,1.0,0.0,1,D,9,"El servicio de agua es privada o de comité, debe pagar una cuota determinada",01D00901,
3054.0,18.0,1.0,22309.0,125.0,112.0,8.0,0.0,1,D,9,"El servicio de agua es privada o de comité, debe pagar una cuota determinada",01D00901,
3052.0,13.0,6.0,15976.0,107.0,69.0,4.0,0.0,1,D,9,"El servicio de agua es privada o de comité, debe pagar una cuota determinada",01D00901,
3051.0,20.0,7.0,23995.0,101.0,62.0,3.0,0.0,1,D,9,"El servicio de agua es privada o de comité, debe pagar una cuota determinada",01D00901,
3110.0,11.0,2.0,13179.0,119.0,102.0,3.0,0.0,1,D,9,"El servicio de agua es privada o de comité, debe pagar una cuota determinada",01D00901,
3012.0,1.0,35.0,4021.0,118.0,104.0,5.0,0.0,1,D,9,"El servicio de agua es privada o de comité, debe pagar una cuota determinada",01D00901,
3074.0,11.0,2.0,13179.0,76.0,66.0,1.0,0.0,1,D,9,"El servicio de agua es privada o de comité, debe pagar una cuota determinada",01D00901,
3037.0,3.0,1.0,5885.0,166.0,37.0,5.0,0.0,1,D,9,"El servicio de agua es privada o de comité, debe pagar una cuota determinada",01D00901,
3001.0,4.0,14.0,7201.0,154.0,95.0,7.0,0.0,1,D,9,"El servicio de agua es privada o de comité, debe pagar una cuota determinada",01D00901,
3051.0,20.0,7.0,23995.0,19.0,12.0,4.0,0.0,1,D,9,"El servicio de agua es privada o de comité, debe pagar una cuota determinada",01D00901,
3104.0,16.0,7.0,20019.0,127.0,102.0,1.0,0.0,1,D,9,"El servicio de agua es privada o de comité, debe pagar una cuota determinada",01D00901,
3023.0,4.0,14.0,7201.0,134.0,83.0,8.0,0.0,1,D,9,"El servicio de agua es privada o de comité, debe pagar una cuota determinada",01D00901,
3018.0,18.0,1.0,22262.0,36.0,34.0,5.0,0.0,1,D,9,"El servicio de agua es privada o de comité, debe pagar una cuota determinada",01D00901,
3018.0,18.0,1.0,22262.0,63.0,57.0,8.0,0.0,1,D,9,"El servicio de agua es privada o de comité, debe pagar una cuota determinada",01D00901,
3052.0,13.0,11.0,16306.0,148.0,80.0,7.0,0.0,1,D,9,"El servicio de agua es privada o de comité, debe pagar una cuota determinada",01D00901,
3052.0,13.0,6.0,15976.0,225.0,142.0,4.0,0.0,1,D,9,"El servicio de agua es privada o de comité, debe pagar una cuota determinada",01D00901,
3107.0,19.0,11.0,22961.0,138.0,99.0,1.0,0.0,1,D,9,"El servicio de agua es privada o de comité, debe pagar una cuota determinada",01D00901,
3113.0,8.0,5.0,10454.0,34.0,23.0,4.0,0.0,1,D,9,"El servicio de agua es privada o de comité, debe pagar una cuota determinada",01D00901,
3034.0,18.0,5.0,22903.0,37.0,26.0,3.0,0.0,1,D,9,"El servicio de agua es privada o de comité, debe pagar una cuota determinada",01D00901,
3052.0,13.0,4.0,15835.0,1.0,1.0,1.0,0.0,1,D,9,"El servicio de agua es privada o de comité, debe pagar una cuota determinada",01D00901,
3052.0,13.0,4.0,15835.0,16.0,7.0,7.0,0.0,1,D,9,"El servicio de agua es privada o de comité, debe pagar una cuota determinada",01D00901,
3099.0,16.0,1.0,19350.0,149.0,118.0,7.0,0.0,1,D,9,"El servicio de agua es privada o de comité, debe pagar una cuota determinada",01D00901,
3065.0,19.0,4.0,23246.0,125.0,103.0,10.0,0.0,1,D,9,"El servicio de agua es privada o de comité, debe pagar una cuota determinada",01D00901,
3083.0,12.0,13.0,14585.0,71.0,49.0,4.0,0.0,1,D,9,"El servicio de agua es privada o de comité, debe pagar una cuota determinada",01D00901,
3051.0,20.0,7.0,23995.0,118.0,72.0,2.0,0.0,1,D,9,"El servicio de agua es privada o de comité, debe pagar una cuota determinada",01D00901,
3067.0,17.0,8.0,21745.0,30.0,14.0,2.0,0.0,1,D,9,"El servicio de agua es privada o de comité, debe pagar una cuota determinada",01D00901,
3051.0,20.0,7.0,23995.0,144.0,82.0,1.0,0.0,1,D,9,"El servicio de agua es privada o de comité, debe pagar una cuota determinada",01D00901,
3064.0,16.0,4.0,19851.0,114.0,97.0,1.0,0.0,1,D,12,Si la distancia es mayor a 0 no debió haber respondido las preguntas 13 y 14,01D01201,
3001.0,4.0,7.0,6951.0,194.0,164.0,8.0,0.0,1,D,12,Si la distancia es mayor a 0 no debió haber respondido las preguntas 13 y 14,01D01201,
3084.0,13.0,8.0,16165.0,141.0,76.0,10.0,0.0,1,D,17,"Tiene inodoro conectado a red de drenajes, pero su hogar no esta conectada a una red de drenajes",01D01701,
3126.0,7.0,5.0,9525.0,144.0,107.0,6.0,0.0,1,D,17,"Tiene inodoro conectado a red de drenajes, pero su hogar no esta conectada a una red de drenajes",01D01701,
3028.0,14.0,12.0,18084.0,2.0,2.0,1.0,0.0,1,D,17,"Tiene inodoro conectado a red de drenajes, pero su hogar no esta conectada a una red de drenajes",01D01701,
3008.0,5.0,13.0,8535.0,89.0,62.0,4.0,0.0,1,D,17,"Tiene inodoro conectado a red de drenajes, pero su hogar no esta conectada a una red de drenajes",01D01701,
3128.0,16.0,1.0,19549.0,61.0,46.0,1.0,0.0,1,D,17,"Tiene inodoro conectado a red de drenajes, pero su hogar no esta conectada a una red de drenajes",01D01701,
