FECHA,ENCUESTADOR,DEPTO,MUPIO,SECTOR,ESTRUCTURA,VIVIENDA,HOGAR,CP,CAPITULO,SECCION,PREGUNTA,DEFINICION DE INCONSISTENCIA,CODIGO ERROR,COMENTARIOS
2023-09-24,3037.0,3.0,3.0,5975.0,142.0,149.0,5.0,0.0,1,A,1,"Si vive en un cuarto en casa de vecindad, no debería preguntar cuantos cuartos tiene ese hogar, ya que no hay mas cuartos disponibles",01A00104,
2023-09-23,3018.0,18.0,1.0,22216.0,163.0,126.0,8.0,0.0,1,A,1,"Si vive en un cuarto en casa de vecindad, no debería preguntar cuantos cuartos tiene ese hogar, ya que no hay mas cuartos disponibles",01A00104,
2023-09-24,3046.0,6.0,8.0,9024.0,58.0,38.0,3.0,0.0,1,A,1,"El tipo de vivienda es Rancho con paredes de Ladrillo, Block o Concreto",01A00108,
2023-09-23,3094.0,17.0,9.0,21833.0,167.0,121.0,9.0,0.0,1,A,1,"El tipo de vivienda es Casa Formal Con Techo de paja, palma o similar",01A00109,
2023-09-24,3094.0,17.0,9.0,21833.0,94.0,67.0,5.0,0.0,1,A,1,"El tipo de vivienda es Casa Formal Con Techo de paja, palma o similar",01A00109,
2023-09-24,3140.0,17.0,9.0,21833.0,79.0,54.0,4.0,0.0,1,A,1,"El tipo de vivienda es Casa Formal Con Techo de paja, palma o similar",01A00109,
2023-09-24,3140.0,17.0,9.0,21833.0,150.0,107.0,8.0,0.0,1,A,1,"El tipo de vivienda es Casa Formal Con Techo de paja, palma o similar",01A00109,
2023-09-25,3094.0,17.0,9.0,21833.0,18.0,14.0,1.0,0.0,1,A,1,"El tipo de vivienda es Casa Formal Con Techo de paja, palma o similar",01A00109,
2023-09-25,3094.0,17.0,9.0,21833.0,58.0,41.0,3.0,0.0,1,A,1,"El tipo de vivienda es Casa Formal Con Techo de paja, palma o similar",01A00109,
2023-09-23,3074.0,12.0,19.0,15049.0,94.0,75.0,4.0,0.0,1,A,5,No Tiene Distribución de Energía Eléctrica y Tiene Contador de Electricidad,01A00502,
2023-09-23,3020.0,2.0,7.0,5764.0,82.0,71.0,4.0,0.0,1,A,5,No Tiene Distribución de Energía Eléctrica y Tiene Contador de Electricidad,01A00502,
2023-09-25,3126.0,7.0,9.0,9728.0,140.0,89.0,7.0,0.0,1,A,5,No Tiene Distribución de Energía Eléctrica y Tiene Contador de Electricidad,01A00502,
2023-09-23,3103.0,6.0,12.0,9179.0,37.0,27.0,4.0,0.0,1,C,1,"Selecciono que realizó alguna mejoras a su vivienda, pero no contesto si en los últimos doce meses lo realizaron",01C00101,
2023-09-25,3157.0,22.0,7.0,25348.0,1.0,1.0,1.0,0.0,1,C,1,"Selecciono que realizó alguna mejoras a su vivienda, pero no contesto si en los últimos doce meses lo realizaron",01C00101,
2023-09-23,3152.0,19.0,1.0,22984.0,183.0,99.0,3.0,0.0,1,D,6,"Si selecciona una opcion de rango (3:7,98) en pregunta sobre ""De dónde obtienen principalmente el agua para consumo"", se verifica que el resto de preguntas sean distinto a vacio hasta la pregunta 12",01D00602,
2023-09-23,3091.0,6.0,8.0,9024.0,118.0,82.0,6.0,0.0,1,D,6,"Si selecciona una opcion de rango (3:7,98) en pregunta sobre ""De dónde obtienen principalmente el agua para consumo"", se verifica que el resto de preguntas sean distinto a vacio hasta la pregunta 12",01D00602,
2023-09-23,3046.0,6.0,8.0,9024.0,99.0,67.0,5.0,0.0,1,D,6,"Si selecciona una opcion de rango (3:7,98) en pregunta sobre ""De dónde obtienen principalmente el agua para consumo"", se verifica que el resto de preguntas sean distinto a vacio hasta la pregunta 12",01D00602,
2023-09-23,3138.0,17.0,9.0,21773.0,172.0,110.0,9.0,0.0,1,D,9,"El servicio de agua es privada o de comité, debe pagar una cuota determinada",01D00901,
2023-09-23,3146.0,20.0,10.0,24129.0,72.0,45.0,3.0,0.0,1,D,9,"El servicio de agua es privada o de comité, debe pagar una cuota determinada",01D00901,
2023-09-24,3156.0,20.0,10.0,24129.0,240.0,154.0,9.0,0.0,1,D,9,"El servicio de agua es privada o de comité, debe pagar una cuota determinada",01D00901,
2023-09-25,3006.0,1.0,22.0,1777.0,69.0,57.0,3.0,0.0,1,D,9,"El servicio de agua es privada o de comité, debe pagar una cuota determinada",01D00901,
2023-09-25,3097.0,3.0,9.0,6189.0,123.0,73.0,6.0,0.0,1,D,9,"El servicio de agua es privada o de comité, debe pagar una cuota determinada",01D00901,
2023-09-23,3152.0,19.0,1.0,22984.0,183.0,99.0,3.0,0.0,1,D,9,"El servicio de agua es privada o de comité, debe pagar una cuota determinada",01D00901,
2023-09-23,3087.0,18.0,1.0,22167.0,75.0,60.0,7.0,0.0,1,D,9,"El servicio de agua es privada o de comité, debe pagar una cuota determinada",01D00901,
