FECHA,ENCUESTADOR,DEPTO,MUPIO,SECTOR,ESTRUCTURA,VIVIENDA,HOGAR,CP,CAPITULO,SECCION,PREGUNTA,DEFINICION DE INCONSISTENCIA,CODIGO ERROR,COMENTARIOS
2023-09-15,3148.0,3.0,6.0,6069.0,213.0,157.0,7.0,0,1,A,1,"Si vive en un cuarto en casa de vecindad, no debería preguntar cuantos cuartos tiene ese hogar, ya que no hay mas cuartos disponibles",01A00104,
2023-09-19,3122.0,11.0,1.0,13000.0,179.0,102.0,1.0,0,1,A,1,"Si vive en un cuarto en casa de vecindad, no debería preguntar cuantos cuartos tiene ese hogar, ya que no hay mas cuartos disponibles",01A00104,
2023-09-23,3018.0,18.0,1.0,22216.0,163.0,126.0,8.0,0,1,A,1,"Si vive en un cuarto en casa de vecindad, no debería preguntar cuantos cuartos tiene ese hogar, ya que no hay mas cuartos disponibles",01A00104,
2023-09-24,3037.0,3.0,3.0,5975.0,98.0,100.0,5.0,0,1,A,1,"Si vive en un cuarto en casa de vecindad, no debería preguntar cuantos cuartos tiene ese hogar, ya que no hay mas cuartos disponibles",01A00104,
2023-09-30,3038.0,3.0,12.0,6267.0,133.0,101.0,9.0,0,1,A,1,"Si vive en un cuarto en casa de vecindad, no debería preguntar cuantos cuartos tiene ese hogar, ya que no hay mas cuartos disponibles",01A00104,
2023-10-03,3038.0,3.0,12.0,6288.0,52.0,19.0,4.0,0,1,A,1,"Si vive en un cuarto en casa de vecindad, no debería preguntar cuantos cuartos tiene ese hogar, ya que no hay mas cuartos disponibles",01A00104,
2023-10-04,3035.0,10.0,1.0,12143.0,63.0,59.0,6.0,0,1,A,1,"Si vive en un cuarto en casa de vecindad, no debería preguntar cuantos cuartos tiene ese hogar, ya que no hay mas cuartos disponibles",01A00104,
2023-09-13,3035.0,9.0,14.0,11566.0,72.0,50.0,4.0,0,1,A,1,"Si vive en un cuarto de vecindad no podría vivir en una casa propia y pagada, propia y pagándola a
plazos y otro, ¿cuál?",01A00105,
2023-09-29,3110.0,13.0,1.0,15445.0,60.0,41.0,3.0,0,1,A,1,"Si vive en un cuarto de vecindad no podría vivir en una casa propia y pagada, propia y pagándola a
plazos y otro, ¿cuál?",01A00105,
2023-10-04,3035.0,10.0,1.0,12143.0,63.0,59.0,6.0,0,1,A,1,"Si vive en un cuarto de vecindad no podría vivir en una casa propia y pagada, propia y pagándola a
plazos y otro, ¿cuál?",01A00105,
2023-09-20,3047.0,2.0,3.0,5603.0,53.0,38.0,4.0,0,1,A,1,"El tipo de vivienda es Rancho con paredes de Ladrillo, Block o Concreto",01A00108,
2023-09-24,3046.0,6.0,8.0,9024.0,58.0,38.0,3.0,0,1,A,1,"El tipo de vivienda es Rancho con paredes de Ladrillo, Block o Concreto",01A00108,
2023-10-04,3005.0,6.0,9.0,9086.0,222.0,142.0,10.0,0,1,A,1,"El tipo de vivienda es Rancho con paredes de Ladrillo, Block o Concreto",01A00108,
2023-10-03,3046.0,6.0,9.0,9086.0,202.0,127.0,9.0,0,1,A,1,"El tipo de vivienda es Rancho con paredes de Ladrillo, Block o Concreto",01A00108,
2023-09-19,3124.0,2.0,3.0,5558.0,196.0,178.0,10.0,0,1,A,1,"El tipo de vivienda es Casa Formal Con Techo de paja, palma o similar",01A00109,
2023-09-23,3094.0,17.0,9.0,21833.0,167.0,121.0,9.0,0,1,A,1,"El tipo de vivienda es Casa Formal Con Techo de paja, palma o similar",01A00109,
2023-09-24,3094.0,17.0,9.0,21833.0,94.0,67.0,5.0,0,1,A,1,"El tipo de vivienda es Casa Formal Con Techo de paja, palma o similar",01A00109,
2023-09-25,3094.0,17.0,9.0,21833.0,18.0,14.0,1.0,0,1,A,1,"El tipo de vivienda es Casa Formal Con Techo de paja, palma o similar",01A00109,
2023-09-25,3094.0,17.0,9.0,21833.0,58.0,41.0,3.0,0,1,A,1,"El tipo de vivienda es Casa Formal Con Techo de paja, palma o similar",01A00109,
2023-09-24,3140.0,17.0,9.0,21833.0,79.0,54.0,4.0,0,1,A,1,"El tipo de vivienda es Casa Formal Con Techo de paja, palma o similar",01A00109,
2023-09-24,3140.0,17.0,9.0,21833.0,150.0,107.0,8.0,0,1,A,1,"El tipo de vivienda es Casa Formal Con Techo de paja, palma o similar",01A00109,
2023-09-25,3122.0,11.0,1.0,13158.0,59.0,42.0,6.0,0,1,A,1,"El tipo de vivienda es Casa Formal Con Techo de paja, palma o similar",01A00109,
2023-09-30,3094.0,18.0,2.0,22401.0,41.0,37.0,3.0,0,1,A,1,"El tipo de vivienda es Casa Formal Con Techo de paja, palma o similar",01A00109,
2023-09-30,3094.0,18.0,2.0,22401.0,111.0,89.0,7.0,0,1,A,1,"El tipo de vivienda es Casa Formal Con Techo de paja, palma o similar",01A00109,
2023-09-29,3094.0,18.0,2.0,22401.0,56.0,50.0,4.0,0,1,A,1,"El tipo de vivienda es Casa Formal Con Techo de paja, palma o similar",01A00109,
2023-09-29,3094.0,18.0,2.0,22401.0,127.0,103.0,8.0,0,1,A,1,"El tipo de vivienda es Casa Formal Con Techo de paja, palma o similar",01A00109,
2023-09-29,3138.0,18.0,2.0,22401.0,161.0,129.0,10.0,0,1,A,1,"El tipo de vivienda es Casa Formal Con Techo de paja, palma o similar",01A00109,
